Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Nicolas","PIT",1.68691,1.2827,0,4.35054,39.157,0,0,0.6612,,42.5533,186.712,38.8498,21.93,20.57,4.4831,21.5627,0.959728,1.94781,42.3163,8.94989,4.56049,1.96248,0.948172,0.226639,0.115486,0.11115327477455139,0.238048,1.41969,0.295241,0.710846,,,4.17334,0.213415,0.0479222,999,,,,,,,183.6,4.269767441860465,179,4.162790697674419,,,,,,,,,,,,,,,,,,,"Kyle Nicolas","27775",693312
"Justin Martinez","ARI",0.885782,0.665021,0,3.86837,23.618,0,2,0.6584,,24.8477,108.026,21.0159,11.43,10.68,2.13936,12.9323,0.926428,1.84424,28.3794,10.2792,4.68418,2.19446,0.774891,0.26271,0.119715,0.14299459755420685,0.225373,1.36625,0.300915,0.727495,,,3.75421,0.210713,0.211834,999,,,,,,,130.8,5.232,124,4.96,,,,,,,,,,,,,,,,,,,"Justin Martinez","24453",679885
"Jordan Romano","LAA",2.07073,1.83921,0,4.44998,53.64,0,4,9.5526,,53.5957,228.231,48.5675,28.39,26.5,8.35148,19.002,1.6973,2.85283,55.625,9.34076,3.1909,2.92732,1.40241,0.243722,0.0832578,0.16046397387981415,0.235334,1.26073,0.282416,0.701169,,,4.30844,0.210218,0.0221853,999,,,,,,,279.80000000000007,5.181481481481483,272,5.037037037037037,,,,,,,,,,,,,,,,,,,"Jordan Romano","16122",605447
"Zach Pop","PHI",1.54049,1.20331,0,4.23928,42.461,0,0,6.5999,,43.0969,185.636,44.1688,21.84,20.3,4.09955,14.3594,1.24248,2.22666,32.4279,6.77197,2.99869,2.25831,0.856117,0.174685,0.0773522,0.09733272343873978,0.261276,1.35806,0.302357,0.694999,,,4.02143,0.207064,0.0479196,999,,,,,,,198.6,4.618604651162791,207,4.813953488372093,,,,,,,,,,,,,,,,,,,"Zach Pop","20185",647315
"Rob Zastryzny","MIL",2.20924,1.57897,0,4.24179,44.775,0.385,0,4.1577,,44.196,187.7,40.1805,22.36,20.83,6.36024,15.0553,1.13324,2.10101,42.003,8.55342,3.06583,2.78992,1.29519,0.223777,0.0802091,0.14356764405965805,0.235602,1.24979,0.276805,0.709578,,,4.26976,0.206913,0.101346,999,,,,,,,196.8,4.472727272727273,191,4.340909090909091,,,,,,,,,,,,,,,,,,,"Rob Zastryzny","15094",642239
"Gage Jump","ATH",0.934979,1.11512,1.21129,4.60984,3.003,3.003,0,0,,16.5559,70.9431,16.4321,9.08,8.48,2.56023,5.32528,0.065206,0.625258,15.1664,8.24465,2.89489,2.848,1.39177,0.213783,0.0750641,0.1387186199426651,0.252831,1.31418,0.293486,0.697592,,,4.39159,0.206554,0.158571,999,,,,,,,59.300000000000004,3.488235294117647,58,3.411764705882353,,,,,,,,,,,,,,,,,,,"Gage Jump","sa3034986",695611
"Mark Leiter Jr.","ATH",2.83186,2.36371,0,4.58979,64.17,0,5,13.0891,,65.0618,281.948,61.775,35.72,33.18,9.29981,25.4487,1.24447,4.50586,68.865,9.52609,3.52032,2.70603,1.28644,0.244247,0.0902602,0.15398646891117096,0.245145,1.34063,0.301878,0.694083,,,4.25763,0.205219,-0.206976,709.4500122070312,,,,,,,334.1,5.140000000000001,333,5.123076923076923,,,,,,,,,,,,,,,,,,,"Mark Leiter Jr.","15551",643410
"Shane Drohan","MIL",1.04056,0.622057,0,3.74413,20.732,0.049,0,0,,23.004,97.5202,18.5412,10.24,9.57,2.45902,10.3369,0.681043,0.933341,25.8999,10.133,4.04418,2.50557,0.962056,0.265585,0.105998,0.15958742052316666,0.21497,1.25535,0.2778,0.73276,,,3.74278,0.205192,0.207336,999,,,,,,,115.20000000000002,5.008695652173913,108,4.695652173913044,,,,,,,,,,,,,,,,,,,"Shane Drohan","sa3014447",675660
"Chase Silseth","LAA",1.58251,1.28457,0,4.03922,39.698,0,0,4.1884,,45.9222,196.026,38.5442,22.03,20.61,5.71676,20.2488,1.32568,2.72415,47.0686,9.22468,3.96844,2.32451,1.12039,0.240115,0.103297,0.1368177831172943,0.222731,1.28028,0.272954,0.723831,,,4.20433,0.205127,0.208493,999,,,,,,,206.20000000000002,4.482608695652174,193,4.195652173913044,,,,,,,,,,,,,,,,,,,"Chase Silseth","30074",681217
"Drew Pomeranz","LAA",2.17454,2.12428,0,4.47272,55.762,0.45,2,10.6067,,55.6775,238.514,49.9819,29.64,27.67,9.18838,20.8106,1.30276,3.23421,59.8088,9.6678,3.36393,2.87396,1.48526,0.250756,0.0872511,0.16350533068180084,0.23305,1.27147,0.280423,0.710398,,,4.42768,0.201922,-0.0751331,999,,,,,,,275.7000000000001,4.9232142857142875,265,4.732142857142857,,,,,,,,,,,,,,,,,,,"Drew Pomeranz","11426",519141
