Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chadwick Tromp","ATL",2,6,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.219325,0.0673327,0.261094,0.257887,0.272526,0.338906,0.268987,0.611433,0.119581,2.32701,0.278358,-0.00261906,-0.0123131,0.527223,-0.228986,69.379,-0.0149322,-0.017408,-0.2472023405134678,0.10759202018380165,0.00750148,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Chadwick Tromp","16953",644433
"Vimael Machín","COL",2,7,6,2,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.252513,0.0714058,0.199047,0.358738,0.308289,0.38346,0.302677,0.69175,0.130947,4.50681,0.298674,-0.00681197,-0.00823835,0.768122,-0.0589816,79.2758,-0.0150503,-0.00883257,-0.18698773439973593,0.016167430207133293,0.00635068,999,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Vimael Machin","17684",605353
"Tomás Nido","DET",3,13,12,3,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.221016,0.0450284,0.251663,0.178923,0.260807,0.331049,0.259464,0.591856,0.110033,1.96993,0.276379,-0.0348244,-0.0205935,0.955483,-0.556936,63.0283,-0.0554179,-0.0164544,-0.6131836473941803,0.23354564979672432,0.00623259,999,,,,,,,7.8,2.6,7.8,2.6,,,,,,,,,,,,,,,,,,,"Tomas Nido","13755",621512
"Christian Encarnacion-Strand","CIN",2,7,6,2,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.250773,0.0535147,0.262022,0.204238,0.298761,0.449929,0.320716,0.74869,0.199155,3.69128,0.301447,0.00230351,-0.00878687,0.870642,0.0435382,100.406,-0.00648336,0,-0.003117759944871068,-0.17499999701976776,0.00560406,999,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Christian Encarnacion-Strand","30011",687952
"Nicky Lopez","COL",2,7,6,2,1,0,0,0,1,0,1,0,1,0,0,0,,0,0,0.251332,0.0837438,0.152451,0.549315,0.320585,0.331357,0.29164,0.651942,0.0800248,5.12825,0.294848,0.00997492,-0.00752654,0.705397,-0.121707,71.7152,0.00244838,0.0280174,-0.2322146745864302,0.05301741324365139,0.00549361,999,,,,,,,8.2,4.1,8.2,4.1,,,,,,,,,,,,,,,,,,,"Nicky Lopez","19339",670032
"Justin Dean","CHC",3,14,12,3,2,0,0,0,2,1,1,0,4,0,0,0,,1,0,0.208026,0.0881217,0.302461,0.291349,0.287014,0.303697,0.266199,0.59071,0.0956704,7.06899,0.295222,-0.0066608,0.068477,1.12162,-0.532592,69.7326,0.0618162,0.0777949,-0.4404072016477585,0.02779492735862732,0.00544007,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Justin Dean","25005",681909
"Steward Berroa","MIL",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,1,0,0.205447,0.10194,0.288209,0.353702,0.290114,0.308633,0.269782,0.598747,0.103186,6.65107,0.283192,-0.00147907,0.0432208,0.581167,-0.245937,71.1489,0.0417418,-0.00854152,-0.1976202093064785,0.016458485275506973,0.00529262,999,,,,,,,4.5,2.25,4.5,2.25,,,,,,,,,,,,,,,,,,,"Steward Berroa","22766",672642
"Rainiel Rodriguez","STL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.237526,0.0840304,0.239584,0.350735,0.310427,0.422085,0.317704,0.732513,0.184559,2.39908,0.277223,,-0.00230739,0.121932,0.00377466,105.371,-0.00230739,0.0104961,0.004058052320033312,0.010496087372303009,0.00489303,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Rainiel Rodriguez","sa3023987",823787
"Brett Sullivan","COL",3,13,12,3,2,1,0,0,1,1,1,0,2,0,0,0,,0,0,0.231256,0.0621973,0.181918,0.341898,0.282671,0.349812,0.277367,0.632483,0.118556,5.29794,0.270354,-0.00758118,-0.000426906,1.14153,-0.370885,61.9375,-0.00800808,-0.045948,-0.5854413118213415,0.20405200496315956,0.00454982,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Brett Sullivan","18217",664954
"Austin Barnes","NYM",2,6,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.208492,0.0851509,0.236896,0.359445,0.282486,0.294619,0.26059,0.577105,0.0861273,3.0904,0.264881,-0.0143091,-0.0055942,0.483591,-0.272619,67.3987,-0.0199034,-0.0269375,-0.2671947367489338,0.09806246869266033,0.00448101,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Austin Barnes","12158",605131
"Dom Nuñez","CLE",2,6,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.183732,0.112094,0.310217,0.36134,0.280801,0.29156,0.260535,0.572361,0.107828,2.79543,0.258979,-0.0089179,-0.0100498,0.483305,-0.272904,65.2012,-0.0189677,-0.0202833,-0.28146023117005825,0.10471665114164352,0.00445408,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Dom Nunez","15055",624513
"Garrett Hampson","CIN",5,21,19,4,3,1,0,0,2,2,2,0,6,0,0,0,,1,0,0.217942,0.084266,0.264372,0.318741,0.287732,0.318235,0.270696,0.605968,0.100293,5.15731,0.28926,0.0185994,0.0352447,1.75909,-0.722225,66.1404,0.0538441,0.00873167,-0.788898803293705,0.13373167254030704,0.00445141,999,,,,,,,14.2,2.84,14.2,2.84,,,,,,,,,,,,,,,,,,,"Garrett Hampson","19262",641658
"Dax Kilby","NYY",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.236475,0.0913245,0.225575,0.404852,0.310717,0.376853,0.302365,0.68757,0.140377,6.25788,0.286308,,0.00431902,0.109478,-0.0086795,93.9598,0.00431902,0.0072165,-0.0028000236488878727,0.007216504774987698,0.00397329,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Dax Kilby","sa3069080",828076
"Max Clark","DET",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.237162,0.109669,0.232548,0.471596,0.322649,0.381011,0.310106,0.70366,0.14385,5.46923,0.291587,,0.000566754,0.115763,-0.00239433,97.9135,0.000566754,0.00393692,-0.001892435597255826,0.003936924040317535,0.00373061,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Max Clark","sa3022683",703601
"Kaelen Culpepper","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.239506,0.0669463,0.234878,0.285026,0.3011,0.390521,0.302086,0.691621,0.151015,4.84041,0.287314,,0.00082441,0.109252,-0.00890593,91.8815,0.00082441,0.0104961,-0.008744138292968273,0.010496087372303009,0.00370068,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kaelen Culpepper","sa3025360",701785
"Josue Briceño","DET",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.239525,0.0928701,0.237674,0.390745,0.314459,0.410988,0.315746,0.725446,0.171463,2.9714,0.285334,,-0.00200807,0.120343,0.00218486,101.799,-0.00200807,0.000657342,0.00011193659156560898,0.0006573420250788331,0.00360014,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Josue Briceno","sa3018584",800522
"Luke Adams","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.205525,0.127558,0.264928,0.48148,0.346625,0.351406,0.31749,0.698031,0.145881,4.38217,0.265116,,-0.000356466,0.121758,0.00360053,103.83,-0.000356466,-0.00262224,0.004183422512141988,-0.0026222390588372946,0.00356369,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luke Adams","sa3020135",702726
"Roc Riggio","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.218477,0.0991109,0.253791,0.390521,0.303772,0.373456,0.298709,0.677228,0.154979,5.04941,0.269073,,-0.000215783,0.10651,-0.011648,91.4412,-0.000215783,0.0104961,-0.010303345072316006,0.010496087372303009,0.00354115,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Roc Riggio","sa3022750",691792
"Ben Cowles","CHC",2,7,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.216764,0.0673236,0.291582,0.230891,0.279035,0.331735,0.270424,0.61077,0.11497,5.68526,0.296741,-0.00165121,0.00264863,0.584816,-0.242288,72.6264,0.0009974251,0.00253218,-0.22610582364723086,0.027532184962183237,0.00351117,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Ben Cowles","sa3016976",701496
